1열,Category,Depth1,Depth2,Depth3,요구사항 상세 설명,기능/비기능,우선순위,비고,상태,담당자
REQ-APLY-006,스터디 공고 지원,내가 지원한 내역 조회,,,"모든 로그인 유저는 자신이 스터디 그룹 구인 공고에 지원한 내역을 마이페이지 - 지원 내역에서 카드형태의 목록으로 조회할 수 있습니다.

• 조회 가능한 항목
    • 지원 내역 상태
    • 지원한 일시 ( YYYY-MM-DD HH:MM ). 
    • 스터디 구인 공고 정보
        • 제목
        • 썸네일 이미지. 
        • 예상 모집 인원
        • 강의 목록
            • 강의명
            • 강사명
        • 사용자 정의 태그목록
            • 태그명
        • 마감 기한",기능,중간,- 로그인 여부 확인 필요,,
REQ-APLY-007,스터디 공고 지원,내가 지원한 내역 조회,지원 내역  상세 조회,,"지원자는 마이페이지에서 조회된 자신의 지원 내역 목록에서 특정 항목을 클릭하여 모달을 통해 해당 항목에 대한 상세 조회를 진행할 수 있습니다.

• 조회 가능한 항목
    • 자기소개
    • 지원 동기
    • 스터디 목표
    • 가능한 시간대
    • 스터디 경험 유무
    • 구체적인 스터디 경험
    • 지원 내역 상태
    • 지원한 일시 ( YYYY-MM-DD HH:MM ) ",기능,중간,- 로그인 여부 확인 필요,,
REQ-APLY-008,스터디 공고 지원,지원 내역 목록 조회,지원 내역  상세 조회,지원 취소,"모든 유저들은 마이페이지 - 지원 내역에서 조회된 지원 내역들 중 특정 항목을 선택하여 취소할 수 있어야 합니다.

이미 승인되거나 거절된 항목에 대해서는 취소할 수 없습니다.

본인이 지원한 내역의 상세조회 모달 내의 ""지원취소"" 버튼을 통해 진행할 수 있습니다.",기능,낮음,- 로그인 여부 확인 필요,,
,,,,,,,,,,
,,,,,,,,,,
REQ-CHAT-001,스터디 그룹 채팅 ,채팅방 목록 조회,,,"모든 로그인 유저는 웹사이트 우측 하단에 고정된 Floating Widget 을 클릭하면 유저가 속한 스터디 그룹의 채팅방을 목록으로 조회할 수 있습니다.

• 조회 가능한 항목
    • 채팅방 이름 ( 그룹명 )
    • 채팅방 최근 메시지 
        • 메시지 내용
        •.타임스탬프 ( YYYY-MM-DD HH:MM)
    • 읽음 여부
    • 수정일시",기능,높음,"- 로그인 여부 확인 필요
- 읽음 여부 처리시 Redis 조회",,
REQ-CHAT-002,스터디 그룹 채팅 ,채팅방 참여,,,"채팅용 Floating Widget에서 조회된 각 채팅방 항목을 클릭하면 해당 채팅방에 접속할 수 있습니다.

채팅방 접속 시 위젯이 채팅방으로 전환되어야 합니다.

• 채팅방 접속 시 조회 가능한 항목
    • 채팅방 이름 ( 그룹명 )
    • 채팅방 멤버
        • 닉네임
        • 리더 여부
    • 전송된 메시지 내역
        • 메시지 내용
        • 타임스탬프 ( YYYY-MM-DD HH:MM)
        • 유저가 그룹에 참여하고 난 이후의 시점에 보내진 메시지 내역입니다.

클라이언트는 해당 채팅방에 유저가 접속하면 서버에 해당 채팅방 url에 대한 웹소켓 연결 요청을 진행합니다.

서버에서는 해당 사용자의 인증정보를 확인하고 웹소켓을 이용하여 실시간으로 연결하고, 연결 성공 시 채팅방에 필요한 정보를 전송해야합니다. 

동시에 사용자가 이전에 읽지 않은 메시지들에 대해서 일괄적으로 읽음 처리를 해야합니다.
",기능,높음,"- 로그인 여부 확인 필요
- 읽음 여부 처리시 Redis 사용",,
REQ-CHAT-003,스터디 그룹 채팅 ,채팅 메시지 내역조회,,,"채팅방에 성공적으로 접속한 유저들은 해당 그룹 채팅방의 채팅 메시지 내역을 조회할 수 있어야합니다.

최초 접속시 300개의 메시지를 조회할 수 있으며 이후 메시지들은 무한 스크롤을 통해 추가적으로 조회할 수 있습니다.

무한스크롤 시 페이지당 100개의 메시지를 추가로 조회합니다.

유저 본인이 보낸 메시지는 우측에, 이외의 그룹원들이 보낸 메시지는 좌측에 위치시켜 구분할 수 있도록 합니다.",기능,높음,- 로그인 여부 확인 필요,,
REQ-CHAT-004,스터디 그룹 채팅 ,채팅 메시지 보내기,,, ,기능,높음,- 로그인 여부 확인 필요,,
REQ-REVW-001,스터디 그룹 리뷰,리뷰 작성,,,"모든 로그인 유저는 자신이 속한 스터디 그룹 중 종료된 스터디 그룹에 대해서 리뷰를 작성할 수 있습니다.

• 입력 항목
    • 별점 ( 5점 만점, 1점 단위 )
    • 리뷰내용
",기능,높음,- 로그인 여부 확인 필요,,
REQ-REVW-002,스터디 그룹 리뷰,리뷰 목록 조회,,,"모든 로그인 유저는 자신이 속한 스터디 그룹 목록 페이지에서 각 그룹 항목 카드 내에서 작성된 리뷰를 조회할 수 있습니다.

각 리뷰항목은 익명성을 보장해야합니다.

만약 유저가 리뷰 작성 전이라면 리뷰 목록 하단에 리뷰 작성하기 버튼이 노출되고 작성했다면 리뷰 수정하기 버튼이 노출되도록 합니다.

• 조회 가능한 항목
    • 별점
    • 리뷰 내용
    • 작성 일시",기능,높음,- 로그인 여부 확인 필요,,
REQ-REVW-003,스터디 그룹 리뷰,리뷰 수정,,,"모든 로그인 유저는 스터디 그룹 목록 페이지에서 자신이 작성한 리뷰를 수정할 수 있어야합니다.

리뷰 수정은 스터디 그룹 항목 카드 하단에 위치한 리뷰 수정하기 버튼을 개별적으로 클릭하면 띄워지는 모달창에서 진행해야 합니다.

• 수정 가능한 항목
    • 별점
    • 리뷰 내용",기능,중간,"- 로그인 여부 확인 필요
- 스태프 및 관리자 권한 확인 필요",,
,,,,,,,,,,
,,,,,,,,,,
REQ-NOTE-001,스터디 학습 기록,작성하기,,,"스터디 그룹에 속한 유저는 스터디를 진행한 후 스터디 그룹 상세페이지 내의 스터디 기록 섹션에 위치한 작성하기 버튼을 클릭하여 스터디 동안 진행한 학습 기록을 남길 수 있습니다.

버튼을 클릭하면 스터디 기록 작성 페이지로 이동해야 합니다.

• 입력 항목
    • 제목
    • 내용
        • 마크다운 서식
        • 이미지 첨부 가능
    • 첨부 파일",기능,높음,- 로그인 여부 확인 필요,,
REQ-NOTE-002,스터디 학습 기록,작성하기,AI 요약,,"스터디 그룹에 속한 유저가 스터디 기록을 작성하면 서버는 해당 기록에 대한 AI 요약을 생성하고 데이터 베이스에 저장해야 합니다.

AI 요약본은 마크다운 서식을 지원하며 다음과 같은 형태여야 합니다.

```
### 2025년 8월 22일 금요일 OOO님의 학습 기록 요약입니다.

## 학습 내용 요약
{학습 내용 요약본}

## 학습한 키워드
{학습한 내용 관련 키워드 목록}

## 추가로 학습하면 좋을 내용 추천
{추천 학습 목록}
```",기능,높음,"- 로그인 여부 확인 필요
- Gemini API",,
REQ-NOTE-003,스터디 학습 기록,목록 조회,,,"스터디 그룹에 속한 유저는 스터디 그룹 상세페이지 내의 스터디 기록 섹션에서 그룹원들이 작성한 스터디 기록을 목록으로 조회할 수 있습니다.

• 조회 가능한 항목
    • 제목
    • 작성자 정보
        • 닉네임
        • 프로필 사진
    • 작성일시 ( YYYY-MM-DD HH:MM )",기능,높음,- 로그인 여부 확인 필요,,
REQ-NOTE-004,스터디 학습 기록,상세 조회,,,"스터디 그룹에 속한 유저는 스터디 그룹 상세페이지 내의 스터디 기록 섹션에서 조회된 스터디 기록 목록 중 특정 항목을 클릭하면 상세조회 페이지로 이동하여 상세조회를 진행할 수 있습니다.

• 조회 가능한 항목
    • 제목
    • 작성자 정보
        • 닉네임
        • 프로필 사진
    • 내용
        • 마크다운 서식
        • 첨부된 이미지
        • 텍스트
    • 첨부된 파일 목록
        • 파일 다운로드 url
        • 파일명 + 확장자
    • AI 학습 내용 요약
        • 내용의 상단에서 확인가능
        • 접기, 펼치기가 가능해야함
    • 작성일시 ( YYYY-MM-DD HH:MM )
    • 수정일시 ( YYYY-MM-DD HH:MM )",기능,높음,- 로그인 여부 확인 필요,,
REQ-NOTE-005,스터디 학습 기록,수정하기,,,"스터디 그룹에 속한 유저는 자신이 작성한 스터디 기록의 상세조회 페이지에서 수정하기 버튼을 클릭하면 수정 페이지로 이동하여 기록을 수정할 수 있습니다.

수정하기 버튼은 작성자 본인외에는 노출하지 않습니다.

• 수정 가능한 항목
    • 제목
    • 내용
        • 마크다운 서식
        • 첨부된 이미지
        • 텍스트
    • 첨부된 파일 목록
        • 파일 다운로드 url
        • 파일명 + 확장자",기능,높음,- 로그인 여부 확인 필요,,
REQ-NOTE-006,스터디 학습 기록,삭제하기,,,"스터디 그룹에 속한 유저는 자신이 작성한 스터디 기록의 상세조회 페이지에서 삭제하기 버튼을 클릭하여 해당 스터디 기록을 삭제할 수 있습니다.

삭제하기 버튼은 작성자 본인외에는 노출하지 않습니다.",기능,높음,- 로그인 여부 확인 필요,,
REQ-NTFY-001,알림,알림 목록 조회,,,"모든 로그인 유저는 헤더바 우측의 알림 아이콘을 클릭하여 알림 내역을 목록으로 조회할 수 있습니다.

전체보기, 읽지않은 알림, 읽은알림을 구분하여 목록으로 조회할 수 있습니다.

• 조회 가능한 항목
    • 알림 메시지 내용
    • 알림 메시지 타입
    • 알림 읽음 여부
    • 알림 시간
    • 필요 시 이동가능한 url 백링크",기능,중간,- 로그인 여부 확인 필요,,
REQ-NTFY-002,알림,알림 읽음 처리,,,"모든 로그인 유저는 조회된 알림 목록에서 읽지 않은 알림에 대해서 읽음 여부를 처리할 수 있습니다.

• Case
    • 해당 알림을 클릭하여 백링크로 이동한 경우
        • 해당 알림만 읽음 처리
    • 전체 읽음 처리 버튼을 클릭한 경우
        • 읽지않은 모든 알림을 읽음처리",기능,중간,- 로그인 여부 확인 필요,,
REQ-NTFY-003,알림,공고 지원 알림,,,"특정 로그인 유저가 스터디 구인 공고에 지원한 경우 구인공고 작성자에게 지원자가 있다는 알림이 발생해야합니다.

• 알림 예시
    •  ""Python 기초 스터디 모집합니다!(구인 공고 제목) 구인 공고에 대한 1건의 대기중인 지원자가 있습니다.""
• 알림 수신자가 해당 알림을 클릭하면 지원내역 관리 페이지로 이동해야 합니다.
• 알림 수신자가 해당 알림을 클릭하면 읽음 처리되어야 합니다.",기능,중간,- djang-celery-beat 또는 crontab,,
REQ-NTFY-004,알림,공고 지원 승인 및 거절 알림,,,"특정 로그인 유저의 지원 내역이 승인 또는 거절되면 해당 지원내역 작성자에게 승인 / 거절 알림이 발생해야 합니다.

• 알림 예시
    •  ""Python 기초 스터디 모집합니다!(구인 공고 제목) 구인 공고에 대한 지원내역이 거절되었습니다.""
    •  ""Python 기초 스터디 모집합니다!(구인 공고 제목) 구인 공고에 대한 지원내역이 승인되었습니다.""
• 알림 수신자가 해당 알림을 클릭하면 마이페이지 - 지원내역 관리 페이지로 이동해야 합니다.
• 알림 수신자가 해당 알림을 클릭하면 읽음 처리되어야 합니다.",기능,중간,- djang-celery-beat 또는 crontab,,
REQ-NTFY-005,알림,스터디 그룹 참여 알림,,,"특정 로그인 유저의 지원 내역이 승인되면 기존에 참여한 스터디 그룹원들에게 새로운 유저가 참여했다는 알림이 발생해야 합니다.

• 알림 예시
    •  ""Python 기초 스터디(스터디 그룹명)에 nickname님이 참여했습니다. 환영해주세요!""
• 알림 수신자가 해당 알림을 클릭하면 해당 스터디 그룹 채팅방으로 이동해야 합니다.
• 알림 수신자가 해당 알림을 클릭하면 읽음 처리되어야 합니다.",기능,중간,- djang-celery-beat 또는 crontab,,
REQ-NTFY-006,알림,스터디 그룹 후기 작성 요청 알림,,,"스터디 그룹 종료기간이 도래한 경우 해당 스터디 그룹의 모든 멤버에게 후기 작성요청 알림이 발생해야 합니다.

• 알림 예시
    •  ""오늘은 Python 기초 스터디(스터디 그룹명)의 종료일이에요! 스터디 후기를 기록해주세요!""
• 알림 수신자가 해당 알림을 클릭하면 마이페이지 -> 완료된 스터디 페이지로 이동해야 합니다.
• 알림 수신자가 해당 알림을 클릭하면 읽음 처리되어야 합니다.",기능,중간,- djang-celery-beat 또는 crontab,,
REQ-NTFY-007,알림,예정 스케줄 알림,,,"• 매일 00시 01분 부터 배치작업을 통해 모든 스터디 그룹의 스케줄 중에 하루전에 임박한 스케줄에 대해서 해당 스케줄 참가인원들에게 스케줄 예정 알림을 보내야합니다.

    •  ""내일은 Python 기초 스터디(스터디 그룹명)에서 자료형 학습(스케줄 명)이 예정되어 있습니다! 잊지말고 참여해주세요!""

• 알림 수신자가 해당 알림을 클릭하면 해당 스터디 그룹 상세 페이지로 이동해야 합니다.
• 알림 수신자가 해당 알림을 클릭하면 읽음 처리되어야 합니다.",기능,중간,- djang-celery-beat 또는 crontab,,
REQ-NTFY-007,알림,금일 스케줄 알림,,,"• 매일 00시 01분 부터 배치작업을 통해 모든 스터디 그룹의 스케줄중 당일에 해당하는 스케줄에 대해서 해당 스케줄 참가인원들에게 스케줄 당일 알림을 보내야합니다.

    •  ""금일 오전 09시 30분부터 오후 13시 30분까지(스케줄 시작시간, 종료시간 사용) Python 기초 스터디(스터디 그룹명)에서 자료형 학습(스케줄 명)이 예정되어 있습니다! 잊지말고 참여해주세요!""

• 알림 수신자가 해당 알림을 클릭하면 해당 스터디 그룹 상세 페이지로 이동해야 합니다.
• 알림 수신자가 해당 알림을 클릭하면 읽음 처리되어야 합니다.",기능,중간,- djang-celery-beat 또는 crontab,,
REQ-NTFY-008,알림,스터디 기록 작성 알림,,,"• 스터디 그룹에 속한 그룹원이 해당 스터디 그룹의 상세페이지에서 스터디 기록을 작성하면 다른 그룹원들에게 해당 인원의 기록 작성을 알리는 알림이 발생해야 합니다.

    •  ""OOO님이(작성자 닉네임) Python 기초 스터디(스터디 그룹명)에 스터디 기록을 작성하셨습니다. 확인해보세요!""

• 알림 수신자가 해당 알림을 클릭하면 해당 스터디 그룹 상세 페이지로 이동해야 합니다.
• 알림 수신자가 해당 알림을 클릭하면 읽음 처리되어야 합니다.",기능,중간,- djang-celery-beat 또는 crontab,,
REQ-SCHD-001,스터디 스케줄 관리,스케줄 캘린더,스케줄 생성,,"모든 스터디 그룹원들은 스터디 그룹 상세페이지 - 스케줄 관리 섹션의 ""스케줄 추가"" 버튼 또는 그룹 채팅방에 위치한 ""스케줄 추가"" 버튼을 클릭하여 스터디 스케줄을 추가할 수 있습니다.

• 입력 항목
    •  스케줄 명
    •  스터디 약속 시작 일시
    •  스터디 약속 종료 일시
    •  참여자 선택 ( 체크박스 활용 )",기능,높음,- 로그인 여부 확인 필요,,
REQ-SCHD-002,스터디 스케줄 관리,스케줄 캘린더,스케줄 생성,참여자 선택,"모든 스터디 그룹원들은 스케줄 추가 시 참여자를 선택해야 하며 참여자 선택은 해당 스터디 그룹에 속한 모든 그룹원들을 선택할 수 있는 체크박스 목록 형태이어야 합니다.

스케줄 추가 모달 내에 스터디 그룹원 닉네임 목록과 체크박스가 나타나야 합니다.",기능,높음,- 로그인 여부 확인 필요,,
REQ-SCHD-003,스터디 스케줄 관리,스케줄 캘린더,스케줄 조회,,"모든 스터디 그룹원들은 스터디 그룹 상세페이지 스케줄 관리 섹션의 캘린더에서 등록된 스케줄을 조회할 수 있습니다.

• 스케줄 조회 시 같은날짜에 잡힌 시간대가 같은 스케줄은 시작시간 기준으로 정렬합니다.
• 스케줄 조회 시 같은날짜에 잡힌 시간대가 다른 스케줄은 스케줄 생성 시간을 기준으로 정렬하고 생성시간도 같은 경우 종료시간 순을 기준으로 정렬합니다.

• 캘린더에서 조회가능한 스케줄 항목
    •  스케줄 명
    •  스터디 약속일 ( 캘린더 내 약속일에 해당 스케줄을 배치 )
    •  스터디 약속 시작 시간 및 종료시간 ( HH시 MM분 ~ HH시 MM분 )",기능,높음,- 로그인 여부 확인 필요,,
REQ-SCHD-004,스터디 스케줄 관리,스케줄 캘린더,스케줄 상세 조회,,"모든 스터디 그룹원들은 캘린더에서 조회된 스케줄들 중에서 각 항목을 클릭하여 모달을 통해 상세조회 할 수 있습니다.

• 스케줄 상세 조회 항목
    •  스케줄 명
    •  스터디 목표
    •  스터디 약속일 ( 캘린더 내 약속일에 해당 스케줄을 배치 )
    •  스터디 약속 시작 시간 및 종료시간 ( HH시 MM분 ~ HH시 MM분 )
    •  참여자 목록
        •  참여자 닉네임
        •  리더 여부",기능,높음,- 로그인 여부 확인 필요,,
REQ-SCHD-004,스터디 스케줄 관리,스케줄 캘린더,스케줄 상세 수정,,"모든 스터디 그룹원들은 작성자 여부와 관계 없이 스케줄 상세조회 모달 내에 위치한 수정 버튼을 클릭하여 정보를 수정할 수 있습니다.

• 수정 가능한 항목
    •  스케줄 명
    •  스터디 목표
    •  스터디 약속일 ( 캘린더 내 약속일에 해당 스케줄을 배치 )
    •  스터디 약속 시작 시간 및 종료시간 ( HH시 MM분 ~ HH시 MM분 )
    •  참여자 목록
        •  참여자 닉네임
        •  리더 여부",기능,중간,- 로그인 여부 확인 필요,,
REQ-SCHD-004,스터디 스케줄 관리,스케줄 캘린더,스케줄 삭제,,모든 스터디 그룹원들은 작성자 여부와 관계 없이 스케줄 상세조회 모달 내에 위치한 삭제 버튼을 클릭하여 스케줄을 삭제할 수 있습니다.,기능,중간,- 로그인 여부 확인 필요,,
